file,class,type,wmc,lcom,lcom*,loc
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Debug\Debugger-swig-lldb\src\main\java\SWIG\SWIGTYPE_p_std__shared_ptrT_lldb_private__File_t.java,SWIG.SWIGTYPE_p_std__shared_ptrT_lldb_private__File_t,class,4,0,0,12
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Features\Base\ghidra_scripts\SplitUniversalBinariesScript.java,SplitUniversalBinariesScript,class,4,0,0,30
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Features\Base\ghidra_scripts\VersionControl_ResetAll.java,VersionControl_ResetAll,class,11,1,0,40
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Features\Base\ghidra_scripts\FixupCompositeDataTypesScript.java,FixupCompositeDataTypesScript,class,13,0,0,54
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Debug\Debugger-swig-lldb\src\main\java\SWIG\SBExpressionOptions.java,SWIG.SBExpressionOptions,class,55,0,0.50961536,167
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Features\Base\ghidra_scripts\ReportDisassemblyErrors.java,ReportDisassemblyErrors,class,2,0,0,13
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Features\BSim\ghidra_scripts\SetExecutableCategoryScript.java,SetExecutableCategoryScript,class,4,0,0,18
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Processors\PIC\ghidra_scripts\CreatePICSwitch.java,CreatePICSwitch,class,13,0,0,33
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Features\Base\ghidra_scripts\GraphClassesScript.java,GraphClassesScript,class,43,22,0.7407408,186
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Features\Base\ghidra_scripts\RenameVariable.java,RenameVariable,class,7,0,0,23
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Features\Base\ghidra_scripts\InnerClassScript.java,MyExternalClass,class,1,0,0,5
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Debug\Debugger-swig-lldb\src\main\java\SWIG\SBMemoryRegionInfoList.java,SWIG.SBMemoryRegionInfoList,class,15,0,0.5416666,47
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Debug\Debugger-swig-lldb\src\main\java\SWIG\lldb.java,SWIG.lldb,class,0,0,0,2
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Debug\Debugger-swig-lldb\src\main\java\SWIG\SWIGTYPE_p_f_p_q_const__char_p_void__void.java,SWIG.SWIGTYPE_p_f_p_q_const__char_p_void__void,class,4,0,0,12
